control_id,description,classification,source-requirement,rationale,residual-risk,evidence,owner,review-status,assessment-method,default-state,configurable-state,prerequisites,restart-behavior,operational-impact,loss-of-protection,limitations
ac-3,"The component supports PostgreSQL role, database, schema, and object authorization; the deployment defines identities and grants.",deployment-supported,NIST AC-3; SRG-APP-000033-DB-000084,PostgreSQL supplies authorization mechanisms but no image can choose application privileges.,Excessive grants or superuser use can bypass intended separation.,docs/DEPLOYMENT.md,deployment-owner,pending-independent-review,examine role/grant policy; test denied and permitted operations; interview database owner,Bootstrap creates only the requested initial superuser and database.,"Roles, memberships, ownership, default privileges, and row security are deployment data.",Approved role model and application identities.,Grant changes normally take effect without container restart.,Least privilege can expose undeclared application dependencies.,"Superuser, ownership, or broad PUBLIC grants defeat access boundaries.",The image does not provision an organization-specific authorization model.
au-2,PostgreSQL emits operational logs to container stdout; event selection and centralized audit retention are deployment functions.,deployment-supported,NIST AU-2; SRG-APP-000091-DB-000066,The database can emit selected events while the runtime and SIEM collect and retain them.,Insufficient event selection or collector loss can leave investigation gaps.,docs/RUNTIME-SECURITY.md,deployment-owner,pending-independent-review,examine logging configuration; test selected events and interruption; interview SIEM owner,Server logs go to stderr with the PostgreSQL default event set.,"Event classes, detail, prefix, duration, and collector behavior are configurable.","Runtime log driver, capacity, access control, clock, and SIEM policy.",Most logging settings reload; collector changes may require restart.,Verbose SQL logging can expose data and increase I/O and storage demand.,"Disabled, dropped, uncorrelated, or mutable logs remove accountability evidence.","The image has no SIEM, retention, immutable storage, or organization event policy."
cm-2,The repository fixes a minimal image baseline with locked input artifacts and restricted-runtime defaults.,image-owned,NIST CM-2; RHEL 9 STIG V2R9 baseline concepts; SRG-APP-000516-CTR-001325,"The repository controls packages, files, entrypoint, metadata, and tested defaults.","Host, runtime, mounted configuration, and initialized data alter the effective system baseline.",docs/ARTIFACT-ACQUISITION.md,maintainer,pending-independent-review,examine locks and image manifest; test native builds and restricted runtime; interview maintainer,"Digest-pinned UBI stages, exact RPM closure, no package manager metadata, nonroot runtime.",Deployment may add configuration and mounts but must not mutate the image.,Verified artifact bundle and protected CI inputs.,A baseline change requires rebuild and full requalification.,Minimal tooling makes interactive repair and diagnostics intentionally limited.,"Mutable tags, unlocked inputs, or writable root filesystems destroy baseline identity.","This is a component baseline, not a RHEL host baseline or DISA-approved configuration."
cp-9,"The image documents consistent backup interfaces; backup execution, encryption, custody, and restore objectives are inherited.",inherited,NIST CP-9; Database SRG V4R5 backup requirements,"Only the deployment knows durability, recovery objectives, keys, media, and restore location.","Missing, stolen, inconsistent, or untested backups can cause disclosure or irreversible loss.",docs/STORAGE.md,organization-owner,pending-independent-review,examine backup records; test isolated restore and integrity; interview storage and recovery owners,No automatic backup service is included.,"Logical, physical, WAL, snapshot, encryption, and retention design is external.","Durable volume, backup system, protected keys, capacity, RPO and RTO.",Backup configuration depends on method; restore normally replaces a stopped instance.,"Backup and restore consume I/O, storage, time, and may require quiescence.",Untested or inaccessible recovery material eliminates recoverability.,"Image tests demonstrate mechanics only, not organization recovery objectives."
ia-5,The image requires a bootstrap secret and defaults PostgreSQL passwords and host rules to SCRAM-SHA-256; lifecycle policy is external.,deployment-supported,NIST IA-5; SRG-APP-000171-DB-000074; PostgreSQL 18 password authentication,The image enforces safe bootstrap transport and hashing; the organization creates and rotates secrets.,"Weak, reused, exposed, or unrotated passwords remain possible.",tests/runtime-security.sh,deployment-owner,pending-independent-review,examine secret and HBA configuration; test missing secret and SCRAM login; interview secret owner,Secret file required on first initialization; SCRAM-SHA-256 selected; trust rejected.,External HBA and server configuration can change authentication and iteration count.,"Runtime secret service with correct ownership, mode, rotation, and audit.",HBA reload is sufficient; role password rotation is online; bootstrap secret is initialization-only.,Rotation and stronger hashing can affect clients and authentication latency.,"Trust, cleartext network password use, leaked secret files, or stale roles enable compromise.","No password breach-list service, MFA, or enterprise identity provider is included."
ir-4,The repository provides withdrawal and evidence-preservation procedures; incident command and notification are organization-owned.,inherited,NIST IR-4; NIST SP 800-53A examine/test/interview method,A public component maintainer cannot operate a consumer incident response program.,Delayed coordination can expand compromise and evidence loss.,docs/INCIDENT-RESPONSE.md,organization-owner,pending-independent-review,examine plan and rehearsal; test contact and quarantine path; interview incident owner,Private reporting and maintainer withdrawal procedures are documented.,"Consumer severity, legal notification, evidence, and containment plans are external.","Named responders, monitored contacts, registry authority, backups, and legal policy.",Containment may stop service; recovery uses a new qualified digest and rotated credentials.,Containment and evidence preservation can interrupt database availability.,"Moving tags, deleting evidence, or reusing credentials compromises recovery confidence.","The maintainer does not know consumer contacts, data, law, or infrastructure."
sc-13,"Cryptographic mechanisms are inventoried, but no FIPS validation claim is made for this image or PostgreSQL configuration.",research-required,NIST SC-13; SRG-APP-000179-DB-000114; RHEL 9 STIG V2R9,"A claim requires exact library linkage, provider mode, architecture, runtime context, and applicable CMVP certificate.","Operators may mistake UBI origin, TLS, or host FIPS mode for validated image cryptography.",docs/CRYPTOGRAPHIC-BOUNDARY.md,maintainer,pending-independent-review,"examine binaries, providers and CMVP records; test each architecture/mode; interview cryptographic authority",No FIPS or validated-cryptography claim.,"Host mode, OpenSSL providers, PostgreSQL TLS, SCRAM, checksums, and signing are separate boundaries.","Exact release digest and architecture plus verified module, provider, host, and CMVP evidence.",Mode/provider/TLS changes can require host and database restart and requalification.,Approved algorithms and provider modes may reduce compatibility or performance.,"Unapproved providers, algorithms, key handling, or boundary changes invalidate a claim.",No applicable CMVP certificate or tested end-to-end mode is established.
sc-8,"The image supports PostgreSQL TLS but leaves certificate issuance, trust, client verification, and ingress enforcement to deployment.",deployment-supported,NIST SC-8; SRG-APP-000441-DB-000378,TLS capability is inside PostgreSQL; certificates and network enforcement are deployment-specific.,Clients can be spoofed or traffic exposed if TLS or verification is optional.,tests/tls.sh,deployment-owner,pending-independent-review,examine certificate/HBA/client policy; test TLS and plaintext rejection; interview PKI owner,"TLS is not enabled without deployment-provided key, certificate, HBA, and configuration.","TLS versions, ciphers, CA, client certificates, HBA and client sslmode are configurable.","Protected server key, valid certificate chain, trusted time, DNS, and client trust.",Initial enablement requires restart; certificate/configuration reload behavior must be rehearsed.,"Strict verification can reject misnamed, expired, or untrusted certificates.","Plain host records, sslmode disable/prefer, or key compromise remove transport assurance.",TLS support is not a FIPS validation or proof of client policy.
si-2,"The project monitors suppliers, locks exact inputs, scans both architectures, and defines time-bound remediation and withdrawal decisions.",image-owned,NIST SI-2; SRG-APP-000456-DB-000390,"Maintainers own component input monitoring, rebuild, qualification, and release withdrawal.","Unknown, unfixed, disputed, or deployment-specific exposure can remain.",docs/VULNERABILITY-MANAGEMENT.md,maintainer,pending-independent-review,"examine advisories, scans and exceptions; test rebuild/withdrawal; interview triage owner",Fixed High/Critical findings block; scheduled monitoring and two scanners are configured.,"Exceptions require exact digest/architecture, approval, expiry and rescan trigger.","Current PGDG, PostgreSQL, Red Hat and scanner data plus monitored private reports.",Correction requires a new immutable image digest and deployment rollout.,Urgent withdrawal or update can interrupt planned change windows.,"Stale databases, blanket ignores, moving tags, or bypassed qualification defeat remediation.","Scanners do not prove reachability, absence of design flaws, or deployment patching."
sr-4,"The build verifies publisher signatures, checksums, source-to-binary mappings, exact package closures, SBOMs, provenance, and release signatures.",image-owned,NIST SR-4; Container Platform SRG supply-chain requirements,Repository workflows own acquisition verification and evidence for produced images.,"Supplier, signing-key, CI runner, registry, or evidence systems can still be compromised.",docs/RELEASE.md,maintainer,pending-independent-review,examine locks/provenance/signatures; test tampered input and independent verification; interview release owner,"Exact hashes, fingerprints, actions, scanners, native architectures, and immutable release identity.","Any supplier, key, package, action, tool, or base closure change requires reviewed lock update.","Protected branch, trusted GitHub identities, supplier keys, registry, OIDC and evidence retention.",Input changes produce a new digest; consumers must explicitly roll out that digest.,Fail-closed verification can delay builds and releases.,"Unverified mirrors, mutable refs, compromised keys/runners, or missing evidence break traceability.","Provenance establishes recorded build inputs, not supplier or CI infallibility."
